layer,name,address,city,state,zip,phone,website,mission_description,longitude,latitude
Artisan Places to Eat Drink and Stay,City Council,233 Broad St,Nevada City,CA,95959,530-264-7788,,"World class Italian espresso, premium loose leaf teas, and organic pastries. A proper espresso cafe and music venue, 8am to 12am daily.",-121.017889369595,39.2623368170154
Artisan Places to Eat Drink and Stay,Deer Creek Inn,116 Nevada St,Nevada City,CA,95959,530-264-7038,http://www.deercreekinn.net/ ,"An 1860 fully restored Queen Anne Victorian B&B. Creekside setting within walking distance to Nevada City. Elegance, Romance & Affordable. Who could ask for more?",-121.015922853233,39.26272778798
Artisan Places to Eat Drink and Stay,Dew Drop Inn,19729 Cerrito Rd,Grass Valley,CA,95949,530-268-1065,https://www.facebook.com/dewdropinn49/,Friendliest bar in America featuring Old Fashion Road House Fun! Biker friendly. We cater parties too. Must be 21 or older,-121.085196139924,39.0877899571341
Artisan Places to Eat Drink and Stay,Diego’s Restaurant,217 Colfax Ave,Grass Valley,CA,95945,530-477-1460,https://diegosrestaurant.com/ ,"Diego’s Chilean Inspired South American Restaurant has an eclectic, relaxing atmosphere, featuring fresh ingredients, professional, quality dishes, generous portions and friendly, attentive service. Diego’s makes every attempt to purchase organic ingredients from local farmers to bring you the healthiest and freshest restaurant experience possible. ",-121.058998328748,39.2160287582308
Artisan Places to Eat Drink and Stay,Donner Lake Bed & Breakfast,10070 Gregory Pl,Truckee,CA,96161,530-587-5574,https://www.donnerlakeinn.com/ ,"This mountain lodge across from Donner Lake sits on over an acre of forest along year round Gregory Creek and offers something for everyone. Each themed guest room in our inn has a gas fireplace, private bath and forest views. Families will appreciate our comfortably furnished great room with fireplace, books, and games. ",-120.2860126172,39.3256978820689
Artisan Places to Eat Drink and Stay,Durga’s Divine Cafe,1237 East Main St,Grass Valley,CA,95945,530-443-1010,http://durgasdivinecafe.com ,"Located at the corner of East Main Street and Dorsey Drive, Durgas Divine cafe offers locally sourced, delicious organic meals. We are Rainforest Alliance certified and carry a selection of vegan, gluten free, and paleo foods. ",-121.047860211863,39.23083369728
Artisan Places to Eat Drink and Stay,Elam Biggs Bed & Breakfast,220 Colfax Ave,Grass Valley,CA,95945,530-477-0906,http://elambiggs.com/ ,Your home in the Grass Valley and Nevada City Gold Country.,-121.058827685675,39.2160622086835
Artisan Places to Eat Drink and Stay,Elixart Herbal Lounge & Gallery,408 Broad St,Nevada City,CA,95959,530-265-1901,http://www.elixart.com/ ,"Elixart is an herbal elixir lounge and visionary art gallery offering the highest integrity and highest vibration ingredients throughout our menu of mood-enhancing elixir drinks, kava, tea, and other exotics; raw food, and premium organic products. ",-121.019945841452,39.2629399720906
Artisan Places to Eat Drink and Stay,Emma Nevada House,528 E Broad St,Nevada City,CA,95959,530-265-4415,http://www.emmanevadahouse.com/,"This elegantly restored and decorated 1856 Victorian is named for 19th Century opera star Emma Nevada. Quiet location, gourmet breakfast. Six rooms, private bath, fireplaces, jacuzzi tubs.",-121.021936232339,39.2646917232685
Artisan Places to Eat Drink and Stay,Fifty Fifty Brewing Company,"11197 Brockway Rd, No 1",Truckee,CA,95959,530-587-2337,https://fiftyfiftybrewing.com/ ,"FiftyFifty Brewing Co. is a locally owned and operated craft brewpub, home to internationally award winning brews, as well as sustainable and organic food. Come enjoy our full bar, beautiful patio, and warm friendly atmosphere. Lunch, dinner, and of course beer, served daily. And check our website for live music and special events. ",-120.163441505863,39.3216694871493
Artisan Places to Eat Drink and Stay,Foxhound Expresso,317 Spring St,Nevada City ,CA,95959,530-265-0200,https://www.facebook.com/FoxHoundEspresso/ ,"Passionately served, compassionately crafted made to order hand roasted coffee with a strong emphasis on home brewing education and cultural development. ",-121.019224502364,39.2619842322595
Artisan Places to Eat Drink and Stay,Friar Tucks Restaurant & Bar,111 North Pine St,Nevada City ,CA,95959,530-265-9093,http://friartucks.com/ ,"Friar Tuck’s on the corner of Pine and Commercial Street in Nevada City’s Historic District has been a festive dining and lounge experience since 1973. Friar Tuck’s features a warm, unique atmosphere with friendly staff, an extensive steak, seafood and fondue menu, award winning wine list, classic cocktails and live music nightly.",-121.018759261285,39.2627484123049
Artisan Places to Eat Drink and Stay,Gold Creek Inn B&B,317 S Pine St,Nevada City,CA,95959,530-264-7548,http://www.goldcreekinn.com ,"This newly renovated 1860 Victorian Bed & Breakfast stands aside the confluence of Deer Creek & Gold Run Creek a block away from Downtown Nevada City. The Inn has 5 unique rooms of which most have their own private bathrooms, & balconies that overlook the Nevada City Historic Flume that spans the canyon with views the year round babbling creek & waterfall. Enjoy a glass of wine, coffee or tea along the creekside patio under the forest canopy.",-121.019345346431,39.2596979514948
Artisan Places to Eat Drink and Stay,Golden Era Lounge,309 Broad St,Nevada City,CA,95959,530-264-7048,http://www.goldeneralounge.com/home.html ,"Born out of our love for the rich history of Nevada City, Golden Era was envisioned to become a premiere location for handcrafted cocktails, premium local wines, and craft beers. The Golden Era location has been serving cocktails, spirits & beers since 1867 in the heart of the gold country. Our historic bar was made in the mid 1890s in Chicago, and has been in place here since 1904.  Our handcrafted cocktails are made from house made syrups & bitters reminiscent of the Golden Era of turn of the century & Prohibition style cocktails. We also have a handcrafted soda fountain offering of non alcoholic beverages.",-121.01913784099,39.2627019729632
Artisan Places to Eat Drink and Stay,Golden Gate Saloon,212 West Main St,Grass Valley,CA,95945,530-460-1945,https://www.holbrooke.com/saloon/ ,"The Golden Gate Saloon is known as the old­est con­tin­u­ously oper­at­ing saloon west of the Mis­sis­sippi. Stephen and Clara Smith were among the first to invest in this boomtown known today as Grass Valley. They built the Golden Gate Saloon which sadly, was destroyed by a fire in 1855 along with most of Grass Valley. The Smiths rebuilt the popular saloon as a one story fieldstone building with a brick façade, making it safer from the threat of another fire.",-121.063522499641,39.2191294901204
Artisan Places to Eat Drink and Stay,Grass Valley Brewing Company,141 East Main St,Grass Valley,CA,95945,530-271-2739,https://www.gvbrew.com/ ,"Grass Valley Brewing Company is a small, locally owned brewery in Grass Valley, CA.  We are a 15 barrel brewery that produces a variety of classic and innovative beers. When you visit you will typically find 12 classic and innovative beers on tap. If you’re hungry, we’ve got you covered with a full service kitchen. Our draft and canned beers are available throughout the region.",-121.060458597735,39.2194597074071
Artisan Places to Eat Drink and Stay,Harmony Ridge Lodge,18883 Hwy 20,Nevada City,CA,95959,530-478-0615,https://www.harmonyridgelodge.com,"A mixture of rustic luxury in a stunning natural setting makes Harmony Ridge Lodge the perfect getaway. Our spacious guest suites are exquisitely designed, with many amenities to make you feel at ease. All guest suites have mini refrigerators, microwaves and coffee pots. In the morning we offer continental breakfast in our dining room or outside on the deck. Our tended gardens and 3.5 acres of private woods are a great way to take in the beauty of nature.",-120.942502689866,39.2874358317715
Artisan Places to Eat Drink and Stay,Haven Underground,226 Broad St,Nevada City,CA,95959,707-336-2230,http://www.havendowntown.com/ ,"Haven is located at 226 Broad Street in the heart of historical downtown Nevada City featuring a beer, wine & herbal elixir bar, friendly staff and fun atmosphere. The Haven offers a Funktion 1 sound system, huge dance floor and a schedule of top notch artists. The Haven is also available to rent for private parties, events, classes, workshops and performances.",-121.017881895612,39.2624841780287
Artisan Places to Eat Drink and Stay,Ike’s Quarter Cafe,401 Commercial St,Nevada City,CA,95959,530-265-6138,http://www.ikesquartercafe.com/ ," Our cuisine is that of Louisiana. New Orleans to be specific. We chose New Orleans because the food is warm, tasty, and delicious. We also chose New Orleans because it is a melting pot, with a Cajun foundation, and diverse ethnic contributions. The food is delicious from the first bite to the last.  ",-121.019586521627,39.2633188022318
Artisan Places to Eat Drink and Stay,Inn Town Campground,9 Kidder Ct,Nevada City,CA,95959,530-265-9900,https://inntowncampground.com/ ,"Located just minutes from downtown Nevada City, California! Dan and Erin Thiem, owners of the Outside Inn, are excited to bring Nevada City a new, vibrant camping experience. The campground is located on a historic 15 acre site, just under two miles from downtown Nevada City.",-121.01895801983,39.2498050045429
Artisan Places to Eat Drink and Stay,Jernigan’s Tap House & Grill,123 Argall Wy,Nevada City,CA,95959,530-265-6999,http://www.jernigansgrill.com/ ,"Jernigan’s features fresh, draft beers, delicious handmade food and sports on our big screens. ",-121.024495341242,39.2526005469997
Artisan Places to Eat Drink and Stay,Kane's Family Restaurant,120 East Main St,Grass Valley,CA,95945,530-273-8111,http://kanesrestaurant.com/,"Opened by executive chef owner John Kane in 2006, Kane’s Bar & Grill in Downtown Grass Valley, California is an open exhibition style kitchen so you can watch us cook ala Original Joe’s in San Francisco, family friendly restaurant featuring a very eclectic Italian American fare. We serve a wide selection of dishes (pizza, pasta, sandwiches, burgers, steaks, chops, roasts, fish, chicken, and seafood).",-121.061350225061,39.2193340379211
Artisan Places to Eat Drink and Stay,Lamb’s Victorian Inn,304 Church St,Grass Valley,CA,95945,530-615-4652,http://www.lambsvictorianinn.com/ ,"Lamb’s Victorian Inn is an elegant and cozy bed and breakfast, located walking distance from a charming historic downtown, where you can enjoy many restaurants, boutique shops, antiques, art galleries, book stores, and wine tasting rooms. ",-121.065622101411,39.2161851286252
Artisan Places to Eat Drink and Stay,Lefty’s Grill,101 Broad St,Nevada City,CA,95959,530-265-5838,https://leftysgrill.com,"The Restaurant is owned and operated by left handed Chefs, Chris Duncan and John Cammack. Established in 2008, Lefty’s Grill is Located in Historic Downtown Nevada City, CA with the goal of serving fantastic local food, great prices and a casual dining experience. Our Historic building, built in 1872, has been around since the Gold Rush.",-121.01638363238,39.2620085319817
Artisan Places to Eat Drink and Stay,Lucchesi Vineyards Tasting Room,128 Mill St,Grass Valley,CA,95945,530-615-4222,http://www.lucchesivineyards.com ,"The Lucchesi Tasting Room is open from 11:00 am until the party's over, every day except Easter, Christmas, and Thanksgiving. Our summer hours are extended for special events, please call us for more information.",-121.062997941905,39.21833666498
Artisan Places to Eat Drink and Stay,Lucchesi Vineyards Winery,19698 View Forever Ln,Grass Valley,CA,95945,530-273-1596,http://www.lucchesivineyards.com/ ,"High upon a hillside overlooking Nevada County with beautiful views of the Sierra Nevada mountains is our vineyard and winery. Come visit Nevada County, take in the views and discover our world class, limited production wines.  ",-121.024528671434,39.165361697056
Artisan Places to Eat Drink and Stay,Marg’s Taco Bistro,10164 Donner Pass Rd,Truckee,CA,96161,530-587-6274,http://www.margstacobistro.com/ ,"At Margs Taco Bistro, Chef Bryan Brutsch reinterprets Latin cuisine, blending traditional Latino flavors with global ingredients and cooking techniques. The menu is inspired by ingredients and cooking techniques from as close to home as our backyard gardens and as far away as Asia. And what pairs better with an authentic Mexican dish than unforgettable margaritas, ice cold Mexican beers, and dozens of rare tequilas?",-120.187329876903,39.3272545054092
Artisan Places to Eat Drink and Stay,McGee’s Annex,315 Broad St,Nevada City,CA,95959,530-265-3205,https://www.facebook.com/Mcgeesmanage/ ,"After 34 years in business, the recently remodeled McGee's Annex is still going strong with the addition of fresh cooked pizza and local beer to our menu.",-121.019367797126,39.2627579840817
Artisan Places to Eat Drink and Stay,MeZe Eatery,106 Mill St,Grass Valley,CA,95945,530-205-9679,https://mezeeatery.com/ ,"Mezé is a Middle Eastern Eatery offering conscious, healthy and simple food, a casual and warm atmosphere, ordering convenience, excellent customer service and attention to detail",-121.063024470952,39.2188743066647
Artisan Places to Eat Drink and Stay,Moody’s Bistro Bar and Beats,10007 Bridge St,Truckee,CA,96161,530-587-8688,http://www.moodysbistro.com/,"Moody’s Bistro Bar & Beats is the place in Truckee for great food and atmosphere. Set in the warmhearted ambiance of the historic Truckee Hotel, Moody’s complements its fine dining with critically praised, nationally touring Jazz, Americana, Soul and Rhythm and Blues bands with a splash of Hip Hop.",-120.184130690512,39.3284107499115
Artisan Places to Eat Drink and Stay,Naggiar Vineyards,18125 Rosemary Ln,Grass Valley,CA,95949,530-268-9059,http://naggiarvineyards.com/ ,"A surprising gem in the budding Sierra Foothills wine industry, Naggiar is much more than just an off the beaten path treasure. Our winery is also the source of some of California’s most desirable grapes, a vast array of varietals grown at the ideal 1,300 foot elevation. We save our most prized grapes, however, for the enjoyment of our family and guests. All of our wines are estate grown, produced and bottled; ripe with nuance, distinctly evocative, and always exceeding expectations.",-121.185697982147,39.0619338929494
Artisan Places to Eat Drink and Stay,National Exchange Hotel,211 Broad St,Nevada City ,CA,95959,530-265-4551,,"The National Hotel is the oldest, continuously operational Hotel and Bar, west of the Rockies. A registered and treasured historical landmark. ",-121.017927509367,39.262385998362
Artisan Places to Eat Drink and Stay,Nevada City Classic Café,216 West Broad St,Nevada City ,CA,95959,530-265-9440,http://www.ncclassiccafe.com,"Here at the Classic we proudly mix our US and French family heritage, our world traveling and ten years of dining experience to create a classic menu focused on old style, Nevada city meals, mixed with a blend of French country family cuisine. We make sure to select organic and natural foods whenever possible to ensure you receive only the best when it comes to your meal. Featured in the Hallmark movie, The Christmas Card.",-121.018095451206,39.2624910303395
Artisan Places to Eat Drink and Stay,Nevada City Winery,321 Spring St,Nevada City ,CA,95959,530-265-9463,https://www.ncwinery.com,"Nevada City Winery represents the rustic history and elegance of Northern California. As the oldest operating winery in the region, the founder is attributed to revitalizing the wine industry in this foothill appellation. Proud of its origin and connected to its roots, Nevada City Winery has purchased grapes from local growers to produce award winning wines dating back to 1980.",-121.020089194605,39.2622570776559
Artisan Places to Eat Drink and Stay,New Moon Cafe,203 York St,Nevada City,CA,95959,530- 265-6399,http://www.thenewmooncafe.com/index.html,Incredible food prepared with the freshest most natural ingredients from scratch. All of which may be enjoyed with a vast array of wines and beers. ,-121.019400847044,39.2634339567354
Artisan Places to Eat Drink and Stay,Ol’ Republic Brewery,124 Argall Wy,Nevada City,CA,95959,530-264-7263,http://www.olrepublicbrewery.com/ ,Ol' Republic Brewery opened its doors in February 2012 in the historic mining town of Nevada City.  Brewers Jim Harte and Simon Olney have always been fascinated with old world beer styles.,-121.024420762209,39.2526868946233
Artisan Places to Eat Drink and Stay,Ol’ Republic Roadhouse,18851 State Hwy 20,Nevada City,CA,95959,530-470-8745,http://www.olrepublicroadhouse.com/ ,"After serving the Nevada County community delicious beer for over six years, we decided it was time to add delicious food. We purchased the 5 Mile House to create an extension of the atmosphere cultivated at the Nevada City Taproom. Make it your local watering hole, your second dining room, your favorite place to meet family and friends, the place you come to at the end of a hard day for a great beer and tasty food.",-120.944948103495,39.2866518633604
Artisan Places to Eat Drink and Stay,Philosphy,10412 Donner Pass Rd,Truckee,CA,96161,530-536-5129,https://www.truckeephilosophy.com/ ,"Food with integrity. Our philosophy is grounded in our commitment to a simply designed, health conscious, organic menu that reflects our minimalist approach. We hope you enjoy.",-120.190845483174,39.3254628570089
Artisan Places to Eat Drink and Stay,Pianeta Ristorante,10096 Donner Pass Rd,Truckee,CA,96161,530-587-4694,http://www.pianetarestauranttruckee.com/ ,"We are a cozy restaurant located in the heart of historic downtown Truckee, specializing in creating delicious Italian foods, homemade pastas, and stellar dining service since 1998. We feature an extensive menu with nightly specials inspired by the delicious cuisine of Northern Italy. We also feature an impressive rotating wine list with numerous options from California and Italy, and a full bar featuring classic cocktails and aperitifs. We are defined by our welcoming friendly staff, remarkable consistent food, and warm eclectic old world ambiance.",-120.18559735191,39.3278160155625
Artisan Places to Eat Drink and Stay,Piety Hill Cottages Motel  B&B,523 Sacramento St,Nevada City,CA,95959,530-265-2245,http://www.pietyhillcottages.com/ ,"Comfortable, casual, and private, our cozy cottages are a relaxed setting for singles, couples and families. As our guest, you will retire to a one, two or three room cottage with French/English Country or Early American decor.  ",-121.023402791329,39.257053107604
Artisan Places to Eat Drink and Stay,Pilot Peak Winery,12888 Spenceville Rd,Penn Valley,CA,95946,530-432-3321,http://pilotpeak.com/  ,"Pilot Peak Winery is located in Northern California’s Sierra Foothills, an hour north of Sacramento and just a few miles outside Grass Valley and Nevada City in the town of Penn Valley. Comparative Tasting is a private and relaxed tasting method that allows you to savor, compare and contrast each wine. ",-121.198933914951,39.1688482839438
Artisan Places to Eat Drink and Stay,Pine Street Porch,424 N Pine St,Nevada City,CA,95959,530-559-8995,http://pinestreetporch.com/ ,"A luxurious Victorian home with modern convenience and incredible comfort in downtown Nevada City. Truly a home for all seasons! Splendid in snow, spring, summer, or the height of fall color. Live theater, fine dining, wine tasting, art galleries, boutique shops, all within walking distance. The film venues for Nevada City and the Wild & Scenic Film Festivals are all a short walk away. ",-121.019540548545,39.2646482230208
Artisan Places to Eat Drink and Stay,Purveyors Pantry,220 Broad St,Nevada City,CA,95959,530-470-6167,http://www.purveyorspantry.com/ ,"Enjoy a local culinary adventure by tasting your way through the Purveyors Pantry retail tasting room, a true brand experience. Over 100 different locally made sauces, condiments and spreads available to taste. Purveyors Pantry also produces jams, spreads and sauces for a number of northern CA farms and artisans, all available to sample. Purveyors Pantry Kitchen focuses on all natural and organic ingredients, responsibly sourced. Dine on freshly baked muffins, cookies and breads, have a great bowl of house made soup or lite fare menu on the weekends",-121.018203587705,39.2625258879484
Artisan Places to Eat Drink and Stay,Sergio’s Caffe,109 Mill St,Grass Valley,CA,95945,530-274-2600,http://www.sergioscaffe.com/ ,"Sergio’s appreciation for food from around the world started with his parents, who moved from Italy to Argentina after World War II. He and Lena, who is originally from Ukraine, married in 2002 and opened Sergio's Caffé soon after. Their vision of opening a modest restaurant with affordable, good food has far exceeded their initial goal to the delight of their well pleased customers.",-121.062908979946,39.218793123882
Artisan Places to Eat Drink and Stay,Sierra Bakehouse,"10736 Pioneer Tr, No 12",Truckee,CA,96161,530-562-9494,https://www.sierrabakehouse.com/ ,"Sierra Bakehouse is owned by pastry chefs Kristy and Daniella. Sierra Bakehouse combines their East and West Coast talents, bringing Truckee and Tahoe top notch high elevation baked goods. It is their mission to bring joy and flavor using high quality, local, organic ingredients. ",-120.180564420156,39.3357904726843
Artisan Places to Eat Drink and Stay,Sierra Knolls Winery,10024 Linnet Ln,Grass Valley,CA,95949,530 269-2327,https://sierraknollswinery.com ,"Small Lot Wine, Friendly Wine Tasting. Our goal is to have our visitors Come for the Wine and Savor the Experience. Toward that end, Friday evenings, year round, mean live bands and amazing Oak-fired Brick Oven Pizza and other delicious fare. ",-121.063514200106,39.1423063000565
Artisan Places to Eat Drink and Stay,Sierra Mountain Inn,816 W Main St,Grass Valley,CA,95945,530-273-8133,http://sierramountaininn.com/ ,"A charming boutique Inn with 12 uniquely appointed rooms and suites and stand alone cozy cottage. Conveniently located 3 blocks from theatres, restaurants and shops in Historic Downtown Grass Valley, a 15 minute drive to scenic rivers and lakes, and a 60 minute drive to the ski resorts.",-121.069066113752,39.2211898002065
Artisan Places to Eat Drink and Stay,Sierra Starr Vineyard & Winery (Store),124 W Main St,Grass Valley,CA,95945,530-477-8282,http://sierrastarr.com/ ,"The Starr family has been producing award winning wines in the Sierra Foothills since 1996. We take pride in crafting small lot wines from our estate vineyards, specializing in Zinfandel, Sauvignon Blanc and Cabernet Franc (along with many others).   We strive for our wines to express our unique terroir and showcase varietal character at its finest.",-121.062871477079,39.2191234756781
Artisan Places to Eat Drink and Stay,Sierra Starr Vineyard & Winery (Winery),11179 Gibson Dr,Grass Valley,CA,95945,530-477-8277,http://sierrastarr.com/ ,"The Starr family has been producing award winning wines in the Sierra Foothills since 1996. We take pride in crafting small lot wines from our estate vineyards, specializing in Zinfandel, Sauvignon Blanc and Cabernet Franc (along with many others).   We strive for our wines to express our unique terroir and showcase varietal character at its finest.",-121.089267974935,39.2113819950023
Artisan Places to Eat Drink and Stay,Sopa Thai Cuisine,312-316 Commercial St,Nevada City,CA,95959,530-470-0101,http://www.sopathai.net/ ,"Located in the heart of Yuba City and Nevada City, Sopa Thai Cuisine saw its first day in 2004. A typical Thai restaurant, Sopa Thai Cuisine has a casual ambiance and an atmosphere that transports you directly to the top of the Grand Palace in Bangkok. Our homemade cuisine is a perfectly inexpensive recipe, a little bit of tradition, an ounce of modern cooking inspired by different regions, and a big cup of love from our Chef Owner Sopa and her team.",-121.019306873384,39.2633271393888
Artisan Places to Eat Drink and Stay,South Pine Cafe,110 South Pine St,Nevada City,CA,95959,530-265-0260,https://www.southpinecafe.com/ ,"Thank you for visiting us at South Pine Cafe. We serve breakfast, lunch and beer at both of our locations. We are located both in Grass Valley and Nevada City, California. We are dedicated to serving freshly prepared and healthy dining options. Whenever possible, we support our local farmers and vendors. Our menu items are made in house, to order, with fresh and natural ingredients.  ",-121.018896186992,39.2622896366649
Artisan Places to Eat Drink and Stay,South Pine Cafe,102 N Richardson St,Grass Valley,CA,95945,530-274-0261,https://www.southpinecafe.com/ ,"Thank you for visiting us at South Pine Cafe. We serve breakfast, lunch and beer at both of our locations. We are located both in Grass Valley and Nevada City, California. We are dedicated to serving freshly prepared and healthy dining options. Whenever possible, we support our local farmers and vendors. Our menu items are made in house, to order, with fresh and natural ingredients.  ",-121.062142157358,39.220031460641
Artisan Places to Eat Drink and Stay,Stella Restaurant,10918 Brockway Rd,Truckee,CA,96161,530-582-5655,https://www.cedarhousesporthotel.com/stella/ ,Stella is an interactive culinary dining affair.  Stella highlights a focused menu shaped by creative imagination that combines familiarity with innovation. All of our meals are accompanied by direct access to our chefs throughout the evening to ensure you remain connected to what’s behind each menu.  It is our goal to give our community an intimate dining experience showcasing new approaches to traditional and exotic flavors in conjunction with what defines Truckee and North Lake Tahoe…..its people.,-120.169334198107,39.3243981682723
